Symbol,Name,Sector,Token,nGram
AKAM,"Akamai Technologies, Inc.",Miscellaneous,akamai technologies,akamai_technologies
AKAO,"Achaogen, Inc.",Health Care,achaogen,achaogen
AKBA,"Akebia Therapeutics, Inc.",Health Care,akebia therapeutics,akebia_therapeutics
AKCA,"Akcea Therapeutics, Inc.",Health Care,akcea therapeutics,akcea_therapeutics
AKER,Akers Biosciences Inc,Health Care,akers biosciences,akers_biosciences
AKR,Acadia Realty Trust,Consumer Services,acadia realty trust,acadia_realty_trust
AKRX,"Akorn, Inc.",Health Care,akorn,akorn
AKS,AK Steel Holding Corporation,Basic Industries,ak steel,ak_steel
AKTS,"Akoustis Technologies, Inc.",Public Utilities,akoustis technologies,akoustis_technologies
AKTX,Akari Therapeutics Plc,Health Care,akari therapeutics plc,akari_therapeutics_plc
AL,Air Lease Corporation,Technology,air lease,air_lease
ALB,Albemarle Corporation,Basic Industries,albemarle,albemarle
ALBO,"Albireo Pharma, Inc.",Health Care,albireo pharma,albireo_pharma
ALCO,"Alico, Inc.",Consumer Non-Durables,alico,alico
ALDR,"Alder BioPharmaceuticals, Inc.",Health Care,alder biopharmaceuticals,alder_biopharmaceuticals
ALDX,"Aldeyra Therapeutics, Inc.",Health Care,aldeyra therapeutics,aldeyra_therapeutics
ALE,"Allete, Inc.",Public Utilities,allete,allete
ALEX,"Alexander & Baldwin, Inc.",Consumer Services,alexander baldwin,alexander_baldwin
ALG,"Alamo Group, Inc.",Capital Goods,alamo group,alamo_group
ALGN,"Align Technology, Inc.",Health Care,align technology,align_technology
ALGT,Allegiant Travel Company,Transportation,allegiant travel,allegiant_travel
ALIM,"Alimera Sciences, Inc.",Health Care,alimera sciences,alimera_sciences
ALJJ,"ALJ Regional Holdings, Inc.",Miscellaneous,alj regional,alj_regional
ALK,"Alaska Air Group, Inc.",Transportation,alaska air group,alaska_air_group
ALKS,Alkermes plc,Health Care,alkermes plc,alkermes_plc
ALL,Allstate Corporation (The),Finance,allstate,allstate
ALLE,Allegion plc,Consumer Services,allegion plc,allegion_plc
ALLT,Allot Communications Ltd.,Technology,allot communications,allot_communications
ALLY,Ally Financial Inc.,Finance,ally financial,ally_financial
ALNY,"Alnylam Pharmaceuticals, Inc.",Health Care,alnylam pharmaceuticals,alnylam_pharmaceuticals
ALOT,"AstroNova, Inc.",Technology,astronova,astronova
ALPN,"Alpine Immune Sciences, Inc.",Health Care,alpine immune sciences,alpine_immune_sciences
ALQA,"Alliqua BioMedical, Inc.",Health Care,alliqua biomedical,alliqua_biomedical
ALRM,"Alarm.com Holdings, Inc.",Technology,alarm com,alarm_com
ALRN,"Aileron Therapeutics, Inc.",Health Care,aileron therapeutics,aileron_therapeutics
ALSK,"Alaska Communications Systems Group, Inc.",Public Utilities,alaska communications systems group,alaska_communications_systems_group
ALSN,"Allison Transmission Holdings, Inc.",Capital Goods,allison transmission,allison_transmission
ALT,"Altimmune, Inc.",Health Care,altimmune,altimmune
ALV,"Autoliv, Inc.",Capital Goods,autoliv,autoliv
ALX,"Alexander&#39;s, Inc.",Consumer Services,alexander 39 s,alexander_39_s
ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,alexion pharmaceuticals,alexion_pharmaceuticals
AM,Antero Midstream Partners LP,Public Utilities,antero midstream partners,antero_midstream_partners
AMAG,"AMAG Pharmaceuticals, Inc.",Health Care,amag pharmaceuticals,amag_pharmaceuticals
AMAT,"Applied Materials, Inc.",Technology,applied materials,applied_materials
AMBA,"Ambarella, Inc.",Technology,ambarella,ambarella
AMBC,"Ambac Financial Group, Inc.",Finance,ambac financial group,ambac_financial_group
AMBR,"Amber Road, Inc.",Technology,amber road,amber_road
AMC,"AMC Entertainment Holdings, Inc.",Consumer Services,amc entertainment,amc_entertainment
AMCN,AirMedia Group Inc,Technology,airmedia group,airmedia_group
AMCX,AMC Networks Inc.,Consumer Services,amc networks,amc_networks
AMD,"Advanced Micro Devices, Inc.",Technology,advanced micro devices,advanced_micro_devices
AME,"AMTEK, Inc.",Consumer Durables,amtek,amtek
AMED,Amedisys Inc,Health Care,amedisys,amedisys
AMG,"Affiliated Managers Group, Inc.",Finance,affiliated managers group,affiliated_managers_group
AMGN,Amgen Inc.,Health Care,amgen,amgen
AMGP,Antero Midstream GP LP,Public Utilities,antero midstream gp,antero_midstream_gp
AMH,American Homes 4 Rent,Consumer Services,american homes 4 rent,american_homes_4_rent
AMID,"American Midstream Partners, LP",Public Utilities,american midstream partners,american_midstream_partners
AMKR,"Amkor Technology, Inc.",Technology,amkor technology,amkor_technology
AMMA,"Alliance MMA, Inc.",Consumer Services,alliance mma,alliance_mma
AMN,AMN Healthcare Services Inc,Technology,amn healthcare services,amn_healthcare_services
AMNB,"American National Bankshares, Inc.",Finance,american national bankshares,american_national_bankshares
AMOT,"Allied Motion Technologies, Inc.",Capital Goods,allied motion technologies,allied_motion_technologies
AMOV,"America Movil, S.A.B. de C.V.",Public Utilities,america movil s a b de c v,america_movil_s_a_b_de_c_v
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",Finance,ameriprise financial services,ameriprise_financial_services
AMPH,"Amphastar Pharmaceuticals, Inc.",Health Care,amphastar pharmaceuticals,amphastar_pharmaceuticals
AMR,"Alta Mesa Resources, Inc.",Energy,alta mesa resources,alta_mesa_resources
AMRB,American River Bankshares,Finance,american river bankshares,american_river_bankshares
AMRC,"Ameresco, Inc.",Basic Industries,ameresco,ameresco
AMRK,"A-Mark Precious Metals, Inc.",Basic Industries,a mark precious metals,a_mark_precious_metals
AMRN,Amarin Corporation plc,Health Care,amarin,amarin
AMRS,"Amyris, Inc.",Basic Industries,amyris,amyris
AMSC,American Superconductor Corporation,Consumer Durables,american superconductor,american_superconductor
AMSF,"AMERISAFE, Inc.",Finance,amerisafe,amerisafe
AMSWA,"American Software, Inc.",Technology,american software,american_software
AMT,American Tower Corporation (REIT),Consumer Services,american tower,american_tower
AMTD,TD Ameritrade Holding Corporation,Finance,td ameritrade,td_ameritrade
AMTX,"Aemetis, Inc",Basic Industries,aemetis,aemetis
AMWD,American Woodmark Corporation,Basic Industries,american woodmark,american_woodmark
AMZN,"Amazon.com, Inc.",Consumer Services,amazon com,amazon_com
AN,"AutoNation, Inc.",Consumer Durables,autonation,autonation
ANAB,"AnaptysBio, Inc.",Health Care,anaptysbio,anaptysbio
ANAT,American National Insurance Company,Finance,american national insurance,american_national_insurance
ANCB,Anchor Bancorp,Finance,anchor bancorp,anchor_bancorp
ANCX,Access National Corporation,Finance,access national,access_national
ANDE,"The Andersons, Inc.",Consumer Services,the andersons,the_andersons
ANDX,Andeavor Logistics LP,Energy,andeavor logistics,andeavor_logistics
ANET,"Arista Networks, Inc.",Technology,arista networks,arista_networks
ANF,Abercrombie & Fitch Company,Consumer Services,abercrombie fitch,abercrombie_fitch
ANFI,Amira Nature Foods Ltd,Consumer Non-Durables,amira nature foods,amira_nature_foods
ANGI,ANGI Homeservices Inc.,Consumer Services,angi homeservices,angi_homeservices
ANGO,"AngioDynamics, Inc.",Health Care,angiodynamics,angiodynamics
ANH,Anworth Mortgage Asset  Corporation,Consumer Services,anworth mortgage asset,anworth_mortgage_asset
ANIK,Anika Therapeutics Inc.,Health Care,anika therapeutics,anika_therapeutics
ANIP,"ANI Pharmaceuticals, Inc.",Health Care,ani pharmaceuticals,ani_pharmaceuticals
ANIX,"Anixa Biosciences, Inc.",Health Care,anixa biosciences,anixa_biosciences
ANSS,"ANSYS, Inc.",Technology,ansys,ansys
ANTM,"Anthem, Inc.",Health Care,anthem,anthem
ANY,Sphere 3D Corp.,Technology,sphere 3d,sphere_3d
AOBC,American Outdoor Brands Corporation,Capital Goods,american outdoor brands,american_outdoor_brands
AON,Aon plc,Finance,aon plc,aon_plc
AOS,Smith (A.O.) Corporation,Consumer Durables,smith a o,smith_a_o
AOSL,Alpha and Omega Semiconductor Limited,Technology,alpha and omega semiconductor,alpha_and_omega_semiconductor
AP,Ampco-Pittsburgh Corporation,Capital Goods,ampco pittsburgh,ampco_pittsburgh
APA,Apache Corporation,Energy,apache,apache
APAM,Artisan Partners Asset Management Inc.,Finance,artisan partners asset management,artisan_partners_asset_management
APC,Anadarko Petroleum Corporation,Energy,anadarko petroleum,anadarko_petroleum
APD,"Air Products and Chemicals, Inc.",Basic Industries,air products and chemicals,air_products_and_chemicals
APDN,Applied DNA Sciences Inc,Consumer Services,applied dna sciences,applied_dna_sciences
APEI,"American Public Education, Inc.",Consumer Services,american public education,american_public_education
APEN,"Apollo Endosurgery, Inc.",Health Care,apollo endosurgery,apollo_endosurgery
APH,Amphenol Corporation,Capital Goods,amphenol,amphenol
APLE,"Apple Hospitality REIT, Inc.",Consumer Services,apple hospitality reit,apple_hospitality_reit
APO,"Apollo Global Management, LLC",Finance,apollo global management llc,apollo_global_management_llc
APOG,"Apogee Enterprises, Inc.",Capital Goods,apogee enterprises,apogee_enterprises
APPF,"AppFolio, Inc.",Technology,appfolio,appfolio
APPN,Appian Corporation,Technology,appian,appian
APPS,"Digital Turbine, Inc.",Miscellaneous,digital turbine,digital_turbine
APRI,"Apricus Biosciences, Inc.",Health Care,apricus biosciences,apricus_biosciences
APRN,"Blue Apron Holdings, Inc.",Consumer Services,blue apron,blue_apron
APTI,"Apptio, Inc.",Technology,apptio,apptio
APTO,"Aptose Biosciences, Inc.",Health Care,aptose biosciences,aptose_biosciences
APTS,"Preferred Apartment Communities, Inc.",Consumer Services,preferred apartment communities,preferred_apartment_communities
APTV,Aptiv PLC,Capital Goods,aptiv plc,aptiv_plc
APU,"AmeriGas Partners, L.P.",Consumer Services,amerigas partners l p,amerigas_partners_l_p
APVO,Aptevo Therapeutics Inc.,Health Care,aptevo therapeutics,aptevo_therapeutics
APWC,Asia Pacific Wire & Cable Corporation Limited,Basic Industries,asia pacific wire cable,asia_pacific_wire_cable
AQMS,"Aqua Metals, Inc.",Basic Industries,aqua metals,aqua_metals
AQN,Algonquin Power & Utilities Corp.,Public Utilities,algonquin power utilities,algonquin_power_utilities
AQXP,"Aquinox Pharmaceuticals, Inc.",Health Care,aquinox pharmaceuticals,aquinox_pharmaceuticals
AR,Antero Resources Corporation,Energy,antero resources,antero_resources
ARA,"American Renal Associates Holdings, Inc",Health Care,american renal associates,american_renal_associates
ARAV,"Aravive, Inc.",Health Care,aravive,aravive
ARAY,Accuray Incorporated,Health Care,accuray,accuray
ARC,"ARC Document Solutions, Inc.",Consumer Services,arc document solutions,arc_document_solutions
ARCB,ArcBest Corporation,Transportation,arcbest,arcbest
ARCH,"Arch Coal, Inc.",Energy,arch coal,arch_coal
ARCI,"Appliance Recycling Centers of America, Inc.",Consumer Services,appliance recycling centers of america,appliance_recycling_centers_of_america
ARCO,Arcos Dorados Holdings Inc.,Consumer Services,arcos dorados,arcos_dorados
ARCW,"ARC Group Worldwide, Inc.",Capital Goods,arc group worldwide,arc_group_worldwide
ARD,Ardagh Group S.A.,Consumer Durables,ardagh group s a,ardagh_group_s_a
ARDM,Aradigm Corporation,Health Care,aradigm,aradigm
ARDX,"Ardelyx, Inc.",Health Care,ardelyx,ardelyx
ARE,"Alexandria Real Estate Equities, Inc.",Consumer Services,alexandria real estate equities,alexandria_real_estate_equities
ARES,Ares Management L.P.,Finance,ares management l p,ares_management_l_p
AREX,Approach Resources Inc.,Energy,approach resources,approach_resources
ARGO,"Argo Group International Holdings, Ltd.",Finance,argo group international,argo_group_international
ARGX,argenx SE,Health Care,argenx se,argenx_se
ARI,Apollo Commercial Real Estate Finance,Consumer Services,apollo commercial real estate finance,apollo_commercial_real_estate_finance
ARII,"American Railcar Industries, Inc.",Capital Goods,american railcar industries,american_railcar_industries
ARKR,Ark Restaurants Corp.,Consumer Services,ark restaurants,ark_restaurants
ARL,"American Realty Investors, Inc.",Finance,american realty investors,american_realty_investors
ARLP,"Alliance Resource Partners, L.P.",Energy,alliance resource partners l p,alliance_resource_partners_l_p
ARMK,Aramark,Consumer Services,aramark,aramark
ARNA,"Arena Pharmaceuticals, Inc.",Health Care,arena pharmaceuticals,arena_pharmaceuticals
ARNC,Arconic Inc.,Capital Goods,arconic,arconic
AROC,"Archrock, Inc.",Public Utilities,archrock,archrock
AROW,Arrow Financial Corporation,Finance,arrow financial,arrow_financial
ARQL,"ArQule, Inc.",Health Care,arqule,arqule
ARR,"ARMOUR Residential REIT, Inc.",Consumer Services,armour residential reit,armour_residential_reit
ARRS,ARRIS International plc,Technology,arris international plc,arris_international_plc
ARRY,Array BioPharma Inc.,Health Care,array biopharma,array_biopharma
ARTNA,Artesian Resources Corporation,Public Utilities,artesian resources,artesian_resources
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",Capital Goods,art 39 s way manufacturing,art_39_s_way_manufacturing
ARTX,Arotech Corporation,Miscellaneous,arotech,arotech
ARW,"Arrow Electronics, Inc.",Consumer Non-Durables,arrow electronics,arrow_electronics
ARWR,"Arrowhead Pharmaceuticals, Inc.",Health Care,arrowhead pharmaceuticals,arrowhead_pharmaceuticals
ASB,Associated Banc-Corp,Finance,associated banc,associated_banc
ASC,Ardmore Shipping Corporation,Transportation,ardmore shipping,ardmore_shipping
ASCMA,"Ascent Capital Group, Inc.",Consumer Services,ascent capital group,ascent_capital_group
ASFI,"Asta Funding, Inc.",Finance,asta funding,asta_funding
ASGN,ASGN Incorporated,Technology,asgn incorporated,asgn_incorporated
ASH,Ashland Global Holdings Inc.,Consumer Durables,ashland global,ashland_global
ASIX,AdvanSix Inc.,Basic Industries,advansix,advansix
ASMB,"Assembly Biosciences, Inc.",Health Care,assembly biosciences,assembly_biosciences
ASML,ASML Holding N.V.,Technology,asml holding n v,asml_holding_n_v
ASNA,"Ascena Retail Group, Inc.",Consumer Services,ascena retail group,ascena_retail_group
ASND,Ascendis Pharma A/S,Health Care,ascendis pharma a s,ascendis_pharma_a_s
ASPN,"Aspen Aerogels, Inc.",Consumer Services,aspen aerogels,aspen_aerogels
ASPS,Altisource Portfolio Solutions S.A.,Consumer Services,altisource portfolio solutions s a,altisource_portfolio_solutions_s_a
ASPU,Aspen Group Inc.,Consumer Services,aspen group,aspen_group
ASR,"Grupo Aeroportuario del Sureste, S.A. de C.V.",Transportation,grupo aeroportuario del sureste s a de c v,grupo_aeroportuario_del_sureste_s_a_de_c_v
ASRT,"Assertio Therapeutics, Inc.",Health Care,assertio therapeutics,assertio_therapeutics
ASRV,AmeriServ Financial Inc.,Finance,ameriserv financial,ameriserv_financial
ASTC,Astrotech Corporation,Capital Goods,astrotech,astrotech
ASTE,"Astec Industries, Inc.",Capital Goods,astec industries,astec_industries
ASUR,Asure Software Inc,Technology,asure software,asure_software
ASV,"ASV Holdings, Inc.",Capital Goods,asv holdings,asv_holdings
ASX,"ASE Technology Holding Co., Ltd.",Technology,ase technology,ase_technology
ASYS,"Amtech Systems, Inc.",Technology,amtech systems,amtech_systems
AT,Atlantic Power Corporation,Energy,atlantic power,atlantic_power
ATAI,ATA Inc.,Consumer Services,ata inc,ata_inc
ATAX,"America First Multifamily Investors, L.P.",Finance,america first multifamily investors l p,america_first_multifamily_investors_l_p
ATEC,"Alphatec Holdings, Inc.",Health Care,alphatec,alphatec
ATEN,"A10 Networks, Inc.",Technology,a10 networks,a10_networks
ATGE,Adtalem Global Education Inc.,Consumer Services,adtalem global education,adtalem_global_education
ATH,Athene Holding Ltd.,Finance,athene,athene
ATHM,Autohome Inc.,Technology,autohome,autohome
ATHN,"athenahealth, Inc.",Miscellaneous,athenahealth,athenahealth
ATHX,"Athersys, Inc.",Health Care,athersys,athersys
ATI,Allegheny Technologies Incorporated,Basic Industries,allegheny technologies,allegheny_technologies
ATIS,Attis Industries Inc.,Basic Industries,attis industries,attis_industries
ATKR,Atkore International Group Inc.,Miscellaneous,atkore international group,atkore_international_group
ATLC,Atlanticus Holdings Corporation,Finance,atlanticus,atlanticus
ATLO,Ames National Corporation,Finance,ames national,ames_national
ATNI,"ATN International, Inc.",Public Utilities,atn international,atn_international
ATNX,"Athenex, Inc.",Health Care,athenex,athenex
ATO,Atmos Energy Corporation,Public Utilities,atmos energy,atmos_energy
ATOM,Atomera Incorporated,Technology,atomera,atomera
ATOS,Atossa Genetics Inc.,Health Care,atossa genetics,atossa_genetics
ATR,"AptarGroup, Inc.",Consumer Non-Durables,aptargroup,aptargroup
ATRA,"Atara Biotherapeutics, Inc.",Health Care,atara biotherapeutics,atara_biotherapeutics
ATRC,"AtriCure, Inc.",Health Care,atricure,atricure
ATRI,Atrion Corporation,Health Care,atrion,atrion
ATRO,Astronics Corporation,Capital Goods,astronics,astronics
ATRS,"Antares Pharma, Inc.",Health Care,antares pharma,antares_pharma
ATSG,"Air Transport Services Group, Inc",Transportation,air transport services group,air_transport_services_group
ATTO,Atento S.A.,Public Utilities,atento s a,atento_s_a
ATTU,Attunity Ltd.,Technology,attunity,attunity
ATU,Actuant Corporation,Technology,actuant,actuant
ATUS,"Altice USA, Inc.",Consumer Services,altice usa,altice_usa
ATV,"Acorn International, Inc.",Consumer Services,acorn international,acorn_international
ATVI,"Activision Blizzard, Inc",Technology,activision blizzard,activision_blizzard
