Symbol,Name,Sector,Token,nGram
LB,L Brands Inc.,Consumer Discretionary,L Brands,L_Brands
LLL,L-3 Communications Holdings,Industrials,L 3 Communications,L_3_Communications
LH,Laboratory Corp. of America Holding,Health Care,LabCorp,LabCorp
LRCX,Lam Research,Information Technology,Lam Research,Lam_Research
LEG,Leggett & Platt,Consumer Discretionary,Leggett & Platt,Leggett_&_Platt
LEN,Lennar Corp.,Consumer Discretionary,Lennar,Lennar
LUK,Leucadia National Corp.,Financials,Jefferies Financial,Jefferies_Financial
LLY,Lilly (Eli) & Co.,Health Care,Eli Lilly,Eli_Lilly
LNC,Lincoln National,Financials,Lincoln National,Lincoln_National
LKQ,LKQ Corporation,Consumer Discretionary,LKQ,LKQ
LMT,Lockheed Martin Corp.,Industrials,Lockheed Martin,Lockheed_Martin
L,Loews Corp.,Financials,Loews,Loews
LOW,Lowe's Cos.,Consumer Discretionary,Lowe,Lowe
LYB,LyondellBasell,Materials,LyondellBasell,LyondellBasell
MTB,M&T Bank Corp.,Financials,M&T,M&T
MAC,Macerich,Real Estate,Macerich,Macerich
M,Macy's Inc.,Consumer Discretionary,Macy,Macy
MRO,Marathon Oil Corp.,Energy,Marathon Oil,Marathon_Oil
MPC,Marathon Petroleum,Energy,Marathon Petroleum,Marathon_Petroleum
MAR,Marriott Int'l.,Consumer Discretionary,Marriott,Marriott
MMC,Marsh & McLennan,Financials,Marsh & McLennan,Marsh_&_McLennan
MLM,Martin Marietta Materials,Materials,Martin Marietta,Martin_Marietta
MAS,Masco Corp.,Industrials,Masco,Masco
MA,Mastercard Inc.,Information Technology,Mastercard,Mastercard
MAT,Mattel Inc.,Consumer Discretionary,Mattel,Mattel
MKC,McCormick & Co.,Consumer Staples,McCormick,McCormick
MCD,McDonald's Corp.,Consumer Discretionary,McDonald,McDonald
MCK,McKesson Corp.,Health Care,McKesson,McKesson
MDT,Medtronic plc,Health Care,Medtronic,Medtronic
MRK,Merck & Co.,Health Care,Merck,Merck
MET,MetLife Inc.,Financials,MetLife,MetLife
MTD,Mettler Toledo,Health Care,Mettler Toledo,Mettler_Toledo
MGM,MGM Resorts International,Consumer Discretionary,MGM Resorts,MGM_Resorts
KORS,Michael Kors Holdings,Consumer Discretionary,Michael Kors,Michael_Kors
MCHP,Microchip Technology,Information Technology,Microchip,Microchip
MU,Micron Technology,Information Technology,Micron,Micron
MSFT,Microsoft Corp.,Information Technology,Microsoft,Microsoft
MAA,Mid-America Apartments,Real Estate,Mid America Apartment,Mid_America_Apartment
MHK,Mohawk Industries,Consumer Discretionary,Mohawk,Mohawk
TAP,Molson Coors Brewing Company,Consumer Staples,Molson Coors,Molson_Coors
MDLZ,Mondelez International,Consumer Staples,Mondelez,Mondelez
MON,Monsanto Co.,Materials,Monsanto,Monsanto
MNST,Monster Beverage,Consumer Staples,Monster Beverage,Monster_Beverage
MCO,Moody's Corp,Financials,Moody,Moody
MS,Morgan Stanley,Financials,Morgan Stanley,Morgan_Stanley
MSI,Motorola Solutions Inc.,Information Technology,Motorola,Motorola
MYL,Mylan N.V.,Health Care,Mylan,Mylan
NDAQ,Nasdaq Inc.,Financials,Nasdaq,Nasdaq
NOV,National Oilwell Varco Inc.,Energy,National Oilwell,National_Oilwell
NAVI,Navient,Financials,Navient,Navient
NTAP,NetApp,Information Technology,NetApp,NetApp
NFLX,Netflix Inc.,Information Technology,Netflix,Netflix
NWL,Newell Brands,Consumer Discretionary,Newell Brands,Newell_Brands
NFX,Newfield Exploration Co,Energy,Newfield Exploration,Newfield_Exploration
NEM,Newmont Mining Corporation,Materials,Newmont,Newmont
NWSA,News Corp. Class A,Consumer Discretionary,News Corp,News_Corp
NEE,NextEra Energy,Utilities,NextEra,NextEra
NLSN,Nielsen Holdings,Industrials,Nielsen,Nielsen
NKE,Nike,Consumer Discretionary,Nike,Nike
NI,NiSource Inc.,Utilities,NiSource,NiSource
NBL,Noble Energy Inc,Energy,Noble Energy,Noble_Energy
JWN,Nordstrom,Consumer Discretionary,Nordstrom,Nordstrom
NSC,Norfolk Southern Corp.,Industrials,Norfolk Southern,Norfolk_Southern
NTRS,Northern Trust Corp.,Financials,Northern Trust,Northern_Trust
NOC,Northrop Grumman Corp.,Industrials,Northrop Grumman,Northrop_Grumman
NCLH,Norwegian Cruise Line,Consumer Discretionary,Norwegian Cruise,Norwegian_Cruise
NRG,NRG Energy,Utilities,NRG,NRG
NUE,Nucor Corp.,Materials,Nucor,Nucor
NVDA,Nvidia Corporation,Information Technology,Nvidia,Nvidia
ORLY,O'Reilly Automotive,Consumer Discretionary,O Reilly,O_Reilly
OXY,Occidental Petroleum,Energy,Occidental Petroleum,Occidental_Petroleum
OMC,Omnicom Group,Consumer Discretionary,Omnicom,Omnicom
OKE,ONEOK,Energy,ONEOK,ONEOK
ORCL,Oracle Corp.,Information Technology,Oracle,Oracle
PCAR,PACCAR Inc.,Industrials,PACCAR,PACCAR
PKG,Packaging Corporation of America,Materials,Packaging Corporation,Packaging_Corporation
PH,Parker-Hannifin,Industrials,Parker Hannifin,Parker_Hannifin
PDCO,Patterson Companies,Health Care,Patterson Companies,Patterson_Companies
PAYX,Paychex Inc.,Information Technology,Paychex,Paychex
PYPL,PayPal,Information Technology,PayPal,PayPal
PNR,Pentair Ltd.,Industrials,Pentair,Pentair
PBCT,People's United Financial,Financials,People s United,People_s_United
PEP,PepsiCo Inc.,Consumer Staples,Pepsi,Pepsi
PKI,PerkinElmer,Health Care,PerkinElmer,PerkinElmer
PRGO,Perrigo,Health Care,Perrigo,Perrigo
PFE,Pfizer Inc.,Health Care,Pfizer,Pfizer
PCG,PG&E Corp.,Utilities,PG&E,PG&E
PM,Philip Morris International,Consumer Staples,Philip Morris,Philip_Morris
PSX,Phillips 66,Energy,Phillips 66,Phillips_66
PNW,Pinnacle West Capital,Utilities,Pinnacle West,Pinnacle_West
PXD,Pioneer Natural Resources,Energy,Pioneer Natural,Pioneer_Natural
PNC,PNC Financial Services,Financials,PNC,PNC
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,Ralph Lauren,Ralph_Lauren
PPG,PPG Industries,Materials,PPG,PPG
PPL,PPL Corp.,Utilities,PPL,PPL
PX,Praxair Inc.,Materials,Praxair,Praxair
PCLN,Priceline.com Inc,Consumer Discretionary,Priceline,Priceline
PFG,Principal Financial Group,Financials,Principal Financial,Principal_Financial
PG,Procter & Gamble,Consumer Staples,Procter & Gamble,Procter_&_Gamble
PGR,Progressive Corp.,Financials,Progressive,Progressive
PLD,Prologis,Real Estate,Prologis,Prologis
PRU,Prudential Financial,Financials,Prudential,Prudential
PEG,Public Serv. Enterprise Inc.,Utilities,PSE&G,PSE&G
PSA,Public Storage,Real Estate,Public Storage,Public_Storage
PHM,Pulte Homes Inc.,Consumer Discretionary,Pulte,Pulte
PVH,PVH Corp.,Consumer Discretionary,PVH,PVH
QRVO,Qorvo,Information Technology,Qorvo,Qorvo
QCOM,QUALCOMM Inc.,Information Technology,QUALCOMM,QUALCOMM
PWR,Quanta Services Inc.,Industrials,Quanta Services,Quanta_Services
DGX,Quest Diagnostics,Health Care,Quest Diagnostics,Quest_Diagnostics
RRC,Range Resources Corp.,Energy,Range Resources,Range_Resources
RJF,Raymond James Financial Inc.,Financials,Raymond James,Raymond_James
RTN,Raytheon Co.,Industrials,Raytheon,Raytheon
O,Realty Income Corporation,Real Estate,Realty Income,Realty_Income
RHT,Red Hat Inc.,Information Technology,Red Hat,Red_Hat
REG,Regency Centers Corporation,Real Estate,Regency Centers,Regency_Centers
REGN,Regeneron,Health Care,Regeneron,Regeneron
RF,Regions Financial Corp.,Financials,Regions Financial,Regions_Financial
RSG,Republic Services Inc,Industrials,Republic Services,Republic_Services
RMD,ResMed,Health Care,ResMed,ResMed
RHI,Robert Half International,Industrials,Robert Half,Robert_Half
ROK,Rockwell Automation Inc.,Industrials,Rockwell Automation,Rockwell_Automation
COL,Rockwell Collins,Industrials,Rockwell Collins,Rockwell_Collins
ROP,Roper Technologies,Industrials,Roper Technologies,Roper_Technologies
ROST,Ross Stores,Consumer Discretionary,Ross Stores,Ross_Stores
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,Royal Caribbean,Royal_Caribbean
SPGI,S&P Global Inc.,Financials,S&P,S&P
CRM,Salesforce.com,Information Technology,Salesforce,Salesforce
SBAC,SBA Communications,Real Estate,SBA Communications,SBA_Communications
SCG,SCANA Corp,Utilities,SCANA,SCANA
SLB,Schlumberger Ltd.,Energy,Schlumberger,Schlumberger
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,Scripps Networks,Scripps_Networks
STX,Seagate Technology,Information Technology,Seagate,Seagate
SEE,Sealed Air,Materials,Sealed Air,Sealed_Air
SRE,Sempra Energy,Utilities,Sempra,Sempra
SHW,Sherwin-Williams,Materials,Sherwin Williams,Sherwin_Williams
SIG,Signet Jewelers,Consumer Discretionary,Signet Jewelers,Signet_Jewelers
SPG,Simon Property Group Inc,Real Estate,Simon Property,Simon_Property
SWKS,Skyworks Solutions,Information Technology,Skyworks,Skyworks
SLG,SL Green Realty,Real Estate,SL Green,SL_Green
SNA,Snap-On Inc.,Consumer Discretionary,Snap On,Snap_On
SO,Southern Co.,Utilities,Southern Company,Southern_Company
LUV,Southwest Airlines,Industrials,Southwest Airlines,Southwest_Airlines
SWK,Stanley Black & Decker,Consumer Discretionary,Stanley Black,Stanley_Black
SBUX,Starbucks Corp.,Consumer Discretionary,Starbucks,Starbucks
STT,State Street Corp.,Financials,State Street,State_Street
SRCL,Stericycle Inc,Industrials,Stericycle,Stericycle
SYK,Stryker Corp.,Health Care,Stryker,Stryker
STI,SunTrust Banks,Financials,SunTrust,SunTrust
SYMC,Symantec Corp.,Information Technology,Symantec,Symantec
SYF,Synchrony Financial,Financials,Synchrony,Synchrony
SNPS,Synopsys Inc.,Information Technology,Synopsys,Synopsys
SYY,Sysco Corp.,Consumer Staples,Sysco,Sysco
TROW,T. Rowe Price Group,Financials,T Rowe Price,T_Rowe_Price
TPR,Tapestry Inc.,Consumer Discretionary,Tapestry,Tapestry
TGT,Target Corp.,Consumer Discretionary,Target Corporation,Target_Corporation
TEL,TE Connectivity Ltd.,Information Technology,TE Connectivity,TE_Connectivity
FTI,TechnipFMC,Energy,TechnipFMC,TechnipFMC
TXN,Texas Instruments,Information Technology,Texas Instruments,Texas_Instruments
TXT,Textron Inc.,Industrials,Textron,Textron
BK,The Bank of New York Mellon Corp.,Financials,BNY Mellon,BNY_Mellon
CLX,The Clorox Company,Consumer Staples,Clorox,Clorox
COO,The Cooper Companies,Health Care,Copper Companies,Copper_Companies
HSY,The Hershey Company,Consumer Staples,Hershey,Hershey
MOS,The Mosaic Company,Materials,Mosaic Company,Mosaic_Company
TRV,The Travelers Companies Inc.,Financials,Travelers Companies,Travelers_Companies
DIS,The Walt Disney Company,Consumer Discretionary,Walt Disney,Walt_Disney
TMO,Thermo Fisher Scientific,Health Care,Thermo Fisher,Thermo_Fisher
TIF,Tiffany & Co.,Consumer Discretionary,Tiffany &,Tiffany_&
TWX,Time Warner Inc.,Consumer Discretionary,Time Warner,Time_Warner
TJX,TJX Companies Inc.,Consumer Discretionary,TJX,TJX
TMK,Torchmark Corp.,Financials,Torchmark,Torchmark
TSS,Total System Services,Information Technology,TSYS,TSYS
TSCO,Tractor Supply Company,Consumer Discretionary,Tractor Supply,Tractor_Supply
TDG,TransDigm Group,Industrials,TransDigm,TransDigm
TRIP,TripAdvisor,Consumer Discretionary,TripAdvisor,TripAdvisor
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,21st Century Fox,21st_Century_Fox
TSN,Tyson Foods,Consumer Staples,Tyson Foods,Tyson_Foods
USB,U.S. Bancorp,Financials,U S Bancorp,U_S_Bancorp
UDR,UDR Inc,Real Estate,UDR,UDR
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary,Ulta Salon,Ulta_Salon
UAA,Under Armour Class A,Consumer Discretionary,Under Armour,Under_Armour
UNP,Union Pacific,Industrials,Union Pacific,Union_Pacific
UAL,United Continental Holdings,Industrials,United Continental,United_Continental
UNH,United Health Group Inc.,Health Care,United Health,United_Health
UPS,United Parcel Service,Industrials,UPS,UPS
URI,United Rentals Inc.,Industrials,United Rentals,United_Rentals
UTX,United Technologies,Industrials,United Technologies,United_Technologies
UHS,Universal Health Services Inc.,Health Care,Universal Health Services,Universal_Health_Services
UNM,Unum Group,Financials,Unum Group,Unum_Group
VFC,V.F. Corp.,Consumer Discretionary,VF Corporation,VF_Corporation
VLO,Valero Energy,Energy,Valero,Valero
VAR,Varian Medical Systems,Health Care,Varian,Varian
VTR,Ventas Inc,Real Estate,Ventas,Ventas
VRSN,Verisign Inc.,Information Technology,Verisign,Verisign
VRSK,Verisk Analytics,Industrials,Verisk Analytics,Verisk_Analytics
VZ,Verizon Communications,Telecommunication Services,Verizon,Verizon
VRTX,Vertex Pharmaceuticals Inc,Health Care,Vertex,Vertex
VIAB,Viacom Inc.,Consumer Discretionary,Viacom,Viacom
V,Visa Inc.,Information Technology,Visa,Visa
VNO,Vornado Realty Trust,Real Estate,Vornado Realty,Vornado_Realty
VMC,Vulcan Materials,Materials,Vulcan Materials,Vulcan_Materials
WMT,Wal-Mart Stores,Consumer Staples,Walmart,Walmart
WBA,Walgreens Boots Alliance,Consumer Staples,Walgreens Boots Alliance,Walgreens_Boots_Alliance
WM,Waste Management Inc.,Industrials,Waste Management,Waste_Management
WAT,Waters Corporation,Health Care,Waters Corporation,Waters_Corporation
WEC,Wec Energy Group Inc,Utilities,Wec Energy,Wec_Energy
WFC,Wells Fargo,Financials,Wells Fargo,Wells_Fargo
HCN,Welltower Inc.,Real Estate,Welltower,Welltower
WDC,Western Digital,Information Technology,Western Digital,Western_Digital
WU,Western Union Co,Information Technology,Western Union,Western_Union
WRK,WestRock Company,Materials,WestRock,WestRock
WY,Weyerhaeuser Corp.,Real Estate,Weyerhaeuser,Weyerhaeuser
WHR,Whirlpool Corp.,Consumer Discretionary,Whirlpool,Whirlpool
WMB,Williams Cos.,Energy,Williams Companies,Williams_Companies
WLTW,Willis Towers Watson,Financials,Willis Towers Watson,Willis_Towers_Watson
WYN,Wyndham Worldwide,Consumer Discretionary,Wyndham Worldwide,Wyndham_Worldwide
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Wynn Resorts,Wynn_Resorts
XEL,Xcel Energy Inc,Utilities,Xcel,Xcel
XRX,Xerox Corp.,Information Technology,Xerox,Xerox
XLNX,Xilinx Inc,Information Technology,Xilinx,Xilinx
XL,XL Capital,Financials,XL Capital,XL_Capital
XYL,Xylem Inc.,Industrials,Xylem,Xylem
YUM,Yum! Brands Inc,Consumer Discretionary,Yum Brands,Yum_Brands
ZBH,Zimmer Biomet Holdings,Health Care,Zimmer Biomet,Zimmer_Biomet
ZION,Zions Bancorp,Financials,Zions,Zions
ZTS,Zoetis,Health Care,Zoetis,Zoetis
