,Freq,Token
123,491,conagra
124,26,concho
125,343,conocophillips
126,165,con_edison
127,56,constellation_brands
128,797,corning
129,871,costco
130,220,coty
131,23,crown_castle
132,20,csra
133,1009,csx
134,600,cummins
135,1006,cvs
136,17,d_r_horton
137,181,danaher
138,177,darden
139,87,davita
140,840,deere
141,1176,delta_air
142,8,dentsply_sirona
143,363,devon
144,14,digital_realty
145,1451,discover
146,6368,discovery
147,1013,dish_network
148,231,dollar_general
149,193,dollar_tree
150,28,dominion_energy
151,798,dover
152,33,dowdupont
153,59,pepper_snapple
154,65,dte_energy
155,319,duke_energy
156,17,duke_realty
157,71,dxc
158,209,e_trade
159,742,eastman
160,687,eaton
161,1791,ebay
162,107,ecolab
163,21,edison_international
164,13,edwards_lifesciences
165,1118,electronic_arts
166,619,emerson
167,202,entergy
168,98,envision
169,42,eog
170,48,eqt
171,345,equifax
172,92,equinix
173,15,equity_residential
174,5,essex_property
175,41,estee_lauder
176,9,everest_re
177,126,eversource
178,379,exelon
179,280,expedia
180,20,expeditors
181,167,express_scripts
182,23,extra_space_storage
183,1079,exxon
184,26,f5_networks
185,8621,facebook
186,52,fastenal
187,12,federal_realty
188,1366,fedex
189,178,fis
190,57,fifth_third_bank
191,169,firstenergy
192,60,fiserv
193,148,flir
194,27,flowserve
195,200,fluor
196,192,fmc
197,136,foot_locker
198,24633,ford
199,45,fortive
200,40,fortune_brands
201,15,franklin_resources
202,97,freeport_mcmoran
203,99,gap_inc
204,342,garmin
205,484,gartner
206,859,general_dynamics
207,2157,general_electric
208,32,brookfield_properties
209,609,general_mills
210,3353,general_motors
211,23,genuine_parts
212,77,gilead_sciences
213,39,global_payments
214,1582,goldman_sachs
215,948,goodyear
216,119,grainger
217,477,halliburton
218,64,hanesbrands
219,978,harley_davidson
220,65,harris_corporation
221,11,hartford_financial
222,1542,hasbro
223,134,hca
224,27,hcp
225,11,helmerich_&_payne
226,43,henry_schein
227,47,hess_corporation
228,1001,hewlett_packard
229,1357,hilton
230,23,hologic
231,1030,home_depot
232,1127,honeywell
233,433,hormel
234,14,host_hotels
235,11047,hp
236,229,humana
237,46,huntington_bancshares
238,56,huntington_ingalls
239,27,idexx
240,28,ihs_markit
241,32,illinois_tool
242,120,illumina
243,20,incyte
244,125,ingersoll_rand
245,12995,intel
246,75,intercontinental_exchange
247,10967,ibm
248,112,international_paper
249,78,interpublic_group
250,21,international_flavors
251,437,intuit
252,25,intuitive_surgical
253,82,invesco
254,9,iqvia
255,122,iron_mountain
256,32,j_b_hunt
257,46,jacobs_engineering
258,72,j_m_smucker
259,767,johnson_&_johnson
260,169,johnson_controls
261,1313,jpmorgan
262,774,juniper
263,122,kansas_city_southern
264,1409,kellogg
265,92,keybank
266,220,kimberly_clark
267,28,kimco
268,220,kinder_morgan
269,28,kla_tencor
270,481,kohl
271,75,kraft_heinz
272,998,kroger
273,38,l_brands
274,87,l_3_communications
275,61,labcorp
276,35,lam_research
277,29,leggett_&_platt
278,114,lennar
279,9,jefferies_financial
280,526,eli_lilly
281,44,lincoln_national
282,13,lkq
283,1138,lockheed_martin
284,215,loews
285,893,lowe
286,70,lyondellbasell
287,111,m&t
288,151,macerich
289,1797,macy
290,88,marathon_oil
291,57,marathon_petroleum
292,1029,marriott
293,84,marsh_&_mclennan
294,105,martin_marietta
295,75,masco
296,1662,mastercard
297,1386,mattel
298,456,mccormick
299,4051,mcdonald
300,157,mckesson
301,210,medtronic
302,1617,merck
303,747,metlife
304,27,mettler_toledo
305,183,mgm_resorts
306,136,michael_kors
307,589,microchip
308,315,micron
309,13573,microsoft
310,7,mid_america_apartment
311,482,mohawk
312,216,molson_coors
313,165,mondelez
314,798,monsanto
315,55,monster_beverage
316,1209,moody
317,986,morgan_stanley
318,1709,motorola
319,314,mylan
320,2070,nasdaq
321,15,national_oilwell
322,38,navient
323,420,netapp
324,3112,netflix
325,86,newell_brands
326,7,newfield_exploration
327,311,newmont
328,571,news_corp
329,97,nextera
330,1717,nielsen
331,2328,nike
332,54,nisource
333,40,noble_energy
334,638,nordstrom
335,1195,norfolk_southern
336,62,northern_trust
337,807,northrop_grumman
338,227,norwegian_cruise
339,252,nrg
340,98,nucor
341,2439,nvidia
342,363,o_reilly
343,88,occidental_petroleum
344,211,omnicom
345,73,oneok
346,3733,oracle
347,135,paccar
348,13,packaging_corporation
349,49,parker_hannifin
350,3,patterson_companies
351,60,paychex
352,984,paypal
353,45,pentair
354,15,people_s_united
355,1288,pepsi
356,107,perkinelmer
357,54,perrigo
358,1323,pfizer
359,575,pg&e
360,565,philip_morris
361,178,phillips_66
362,9,pinnacle_west
363,16,pioneer_natural
364,959,pnc
365,393,ralph_lauren
366,500,ppg
367,148,ppl
368,29,praxair
369,122,priceline
370,42,principal_financial
371,857,procter_&_gamble
372,2480,progressive
373,121,prologis
374,694,prudential
375,53,pse&g
376,63,public_storage
377,24,pulte
378,107,pvh
379,16,qorvo
380,1001,qualcomm
381,23,quanta_services
382,30,quest_diagnostics
383,14,range_resources
384,102,raymond_james
385,973,raytheon
386,7,realty_income
387,1271,red_hat
388,10,regency_centers
389,76,regeneron
390,42,regions_financial
391,154,republic_services
392,8,resmed
393,30,robert_half
394,58,rockwell_automation
395,184,rockwell_collins
396,8,roper_technologies
397,27,ross_stores
398,423,royal_caribbean
399,1471,s&p
400,399,salesforce
401,5,sba_communications
402,48,scana
403,405,schlumberger
404,89,scripps_networks
405,673,seagate
406,58,sealed_air
407,80,sempra
408,82,sherwin_williams
409,0,signet_jewelers
410,239,simon_property
411,34,skyworks
412,27,sl_green
413,74,snap_on
414,169,southern_company
415,682,southwest_airlines
416,88,stanley_black
417,2346,starbucks
418,471,state_street
419,32,stericycle
420,307,stryker
421,289,suntrust
422,978,symantec
423,83,synchrony
424,342,synopsys
425,73,sysco
426,78,t_rowe_price
427,95,tapestry
428,250,target_corporation
429,32,te_connectivity
430,20,technipfmc
431,857,texas_instruments
432,385,textron
433,217,bny_mellon
434,224,clorox
435,1,copper_companies
436,1984,hershey
437,14,mosaic_company
438,69,travelers_companies
439,3764,walt_disney
440,64,thermo_fisher
441,249,tiffany_&
442,2032,time_warner
443,155,tjx
444,46,torchmark
445,40,tsys
446,20,tractor_supply
447,26,transdigm
448,182,tripadvisor
449,584,21st_century_fox
450,144,tyson_foods
451,384,u_s_bancorp
452,10,udr
453,6,ulta_salon
454,260,under_armour
455,2054,union_pacific
456,71,united_continental
457,30,united_health
458,2415,ups
459,48,united_rentals
460,220,united_technologies
461,30,universal_health_services
462,4,unum_group
463,79,vf_corporation
464,330,valero
465,338,varian
466,46,ventas
467,328,verisign
468,13,verisk_analytics
469,3255,verizon
470,434,vertex
471,2302,viacom
472,2702,visa
473,53,vornado_realty
474,14,vulcan_materials
475,4205,walmart
476,82,walgreens_boots_alliance
477,496,waste_management
478,10,waters_corporation
479,14,wec_energy
480,1706,wells_fargo
481,24,welltower
482,228,western_digital
483,489,western_union
484,16,westrock
485,138,weyerhaeuser
486,388,whirlpool
487,37,williams_companies
488,12,willis_towers_watson
489,46,wyndham_worldwide
490,98,wynn_resorts
491,166,xcel
492,1455,xerox
493,305,xilinx
494,6,xl_capital
495,176,xylem
496,119,yum_brands
497,14,zimmer_biomet
498,151,zions
499,45,zoetis
